,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Vicinity
36,ROBIN’S little italy,ChIJT8XQFuShmkcREAcaM9pz1dY,47.3757403,8.5444532,4.1,7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Zähringerstrasse 33, Zürich"
37,Römerblick,ChIJAQ6pZLSgmkcRnCN_tPb8G30,47.3680622,8.559903499999999,4.4,118,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","Asylstrasse 58, Zürich"
38,Bianchi,ChIJG7Yh0amgmkcRI7GI0awSb-o,47.37354209999999,8.5429626,4.6,587,"['restaurant', 'food', 'point_of_interest', 'establishment']","Limmatquai 82, Zürich"
39,Schipfe 16,ChIJhxLGZQcKkEcR9DiYBQ21czo,47.3730889,8.541802299999999,4.5,510,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schipfe 16, Zürich"
40,Oberhof,ChIJgcmQya-gmkcRyRJ5Q4f5BTQ,47.3734817,8.5535484,4.7,186,"['restaurant', 'food', 'point_of_interest', 'establishment']","Zürichbergstrasse 24, Zürich"
41,Pumpstation,ChIJd949nVOnmkcROghWyVhkibY,47.3636537,8.5463788,4.1,1712,"['restaurant', 'food', 'point_of_interest', 'establishment']","Utoquai 10, Zürich"
42,Glogge Egge,ChIJO6xGoQYKkEcR3L8U0fsGoMw,47.37290489999999,8.5365208,4.3,126,"['bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Sihlstrasse 31, Zürich"
43,Vapiano,ChIJ9-g9ZqugmkcReZ-24XijM5A,47.367774,8.5461457,4.0,2672,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Rämistrasse 8, Zürich"
44,Luca² Restaurant,ChIJjT2K4rSgmkcRVPta4W5Z_Ig,47.3668091,8.5616751,4.9,219,"['restaurant', 'food', 'point_of_interest', 'establishment']","Asylstrasse 81, Zürich"
45,Rechberg,ChIJTXf7bkyhmkcR1ImE305ohMc,47.3740371,8.5461951,4.7,226,"['restaurant', 'food', 'point_of_interest', 'establishment']","Chorgasse 20, Zürich"
46,Migros Restaurant,ChIJe6LeMFOnmkcR2cOwloDyUaA,47.3654649,8.5479404,3.8,189,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","Falkenstrasse 19 - 21, Zürich"
47,James Joyce,ChIJJzJlsQYKkEcRIVgHjafHIJc,47.372227,8.537009,4.3,610,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pelikanstrasse 8, Zürich"
48,Blinde Kuh,ChIJ5fkhIUmnmkcRsKa_icA6Xwc,47.358279,8.5573,4.7,975,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mühlebachstrasse 148, Zürich"
49,Migros Restaurant,ChIJicVfxQUKkEcRrbxHS1dFpDw,47.3752322,8.5364528,4.2,775,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","Löwenstrasse 31-35, Zürich"
50,LUX Restaurant & Bar,ChIJLeoeJhAJkEcRkbhTuk67LGE,47.3659761,8.5382272,4.4,184,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Claridenstrasse 5, Zürich"
51,Ornellaia,ChIJhR8PuAYKkEcRoIf_0blKJ7I,47.37245679999999,8.5377064,4.6,296,"['restaurant', 'food', 'point_of_interest', 'establishment']","St. Annagasse 2, Zürich"
52,Carlton,ChIJhW8XMQEKkEcRSC3jvBjpmiM,47.3713386,8.537680500000002,4.4,264,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 41, Zürich"
53,Swiss Chuchi Restaurant,ChIJTfaDxqmgmkcRN_HnS0olahk,47.37316389999999,8.543659200000002,4.3,4141,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rosengasse 10, Zürich"
54,Tiffins Asian Kitchen,ChIJh3TsCVKnmkcRPPFzTrImq0M,47.3618925,8.5510282,4.2,629,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 61, Zürich"
55,Chiffon - Restaurant Bar,ChIJ1XN9woehmkcRv55KoXCBBBA,47.3725921,8.5478041,4.5,216,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Hirschengraben 36, Zürich"
56,Ginger Restaurant,ChIJSfGzDlKnmkcR-JYhXFg-h3c,47.361841,8.550616999999999,4.3,487,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 62, Zürich"
57,Osteria Borgo,ChIJ96N--46hmkcR64B4pntji7k,47.3746714,8.5437078,4.3,229,"['restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 33, Zürich"
58,Lotti,ChIJqUQeSwYKkEcR9gphI8iyyl8,47.3751661,8.5397742,4.2,684,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Werdmühlepl. 3, Zürich"
59,Tao‘s,ChIJL3iOygAKkEcRS543QQANWGU,47.371448,8.5401992,4.2,1055,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","Augustinergasse 3, Zürich"
